Dataset,Oversampling,Classifier,k,,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,count,4.0,4.0,4.0,4.0,4.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,mean,0.5744547301492372,0.8474049959820351,0.9772259641594709,0.7454648526077097,0.8613454083835904
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,std,0.363770609012571,0.08423397692659358,0.04519648825757833,0.17827105633511253,0.07124078681728517
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,min,0.035921421889616466,0.7758105457024362,0.9094314404797496,0.6020408163265306,0.8008885122027989
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,25%,0.5235152391933344,0.7758821885857441,0.9771600161792379,0.6020408163265306,0.8009808393751253
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,50%,0.7164409773329408,0.8373642757055876,0.9997450011430984,0.7050608122036693,0.8524644581216014
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,75%,0.7673804682888437,0.9088870831018787,0.9998109491233315,0.8484848484848485,0.9128290271300665
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,142403,max,0.8290155440414507,0.9390808868145295,0.9999824138719379,0.9696969696969697,0.9395642050883597
Creditcard Fraud,SMOTE,Logistic Regression,142403,count,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,142403,mean,0.2652743931408042,0.9350392470804261,0.9897297012116842,0.8840032982890126,0.9368664997503483
Creditcard Fraud,SMOTE,Logistic Regression,142403,std,0.11579412860629028,0.02340550069630194,0.006281313458398629,0.04884751168875378,0.02211533664756672
Creditcard Fraud,SMOTE,Logistic Regression,142403,min,0.1417910447761194,0.9094160540169903,0.9798462972407365,0.8367346938775511,0.9125727177422857
Creditcard Fraud,SMOTE,Logistic Regression,142403,25%,0.19547079856972585,0.9187458571992128,0.9884107416070204,0.8469387755102041,0.9217899125251634
Creditcard Fraud,SMOTE,Logistic Regression,142403,50%,0.25287356321839083,0.9340180542425682,0.9910310746882859,0.8787878787878788,0.9357536108850673
Creditcard Fraud,SMOTE,Logistic Regression,142403,75%,0.29,0.943348003030766,0.9927193429822556,0.8979591836734694,0.9444951291808776
Creditcard Fraud,SMOTE,Logistic Regression,142403,max,0.44623655913978494,0.9696682669125933,0.9966410495401228,0.9595959595959596,0.969721128418348
