Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,142403,0.035921421889616466,0.9390808868145295,0.9094314404797496,0.9696969696969697,0.9395642050883597
Creditcard Fraud,1,No Oversampling,Logistic Regression,0,0.7323943661971831,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746
Creditcard Fraud,1,SMOTE,Logistic Regression,142403,0.1417910447761194,0.9696682669125933,0.9798462972407365,0.9595959595959596,0.969721128418348
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,142403,0.8290155440414507,0.8988224818643284,0.9997537942071294,0.8080808080808081,0.9039173011439687
Creditcard Fraud,2,No Oversampling,Logistic Regression,0,0.6754966887417219,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264
Creditcard Fraud,2,SMOTE,Logistic Regression,142403,0.29,0.9340180542425682,0.9927193429822556,0.8787878787878788,0.9357536108850673
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,142403,0.686046511627907,0.7758105457024362,0.9997362080790673,0.6020408163265306,0.8008885122027989
Creditcard Fraud,3,No Oversampling,Logistic Regression,0,0.5147058823529411,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352
Creditcard Fraud,3,SMOTE,Logistic Regression,142403,0.19547079856972585,0.9094160540169903,0.9884107416070204,0.8367346938775511,0.9125727177422857
Creditcard Fraud,4,No Oversampling,Logistic Regression,0,0.7272727272727273,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857
Creditcard Fraud,4,SMOTE,Logistic Regression,142403,0.25287356321839083,0.943348003030766,0.9910310746882859,0.8979591836734694,0.9444951291808776
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,142403,0.7468354430379747,0.7759060695468467,0.9999824138719379,0.6020408163265306,0.8010116150992341
Creditcard Fraud,5,No Oversampling,Logistic Regression,0,0.453125,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383
Creditcard Fraud,5,SMOTE,Logistic Regression,142403,0.44623655913978494,0.9187458571992128,0.9966410495401228,0.8469387755102041,0.9217899125251634
