Dataset,Oversampling,Classifier,k,,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,mean,0.4746647820586656,0.7362326244489298,26.4,222.8,0.8499531205998416,0.9960818106677454,0.7311688311688311,0.8636253209182883,56640.2,72.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,std,0.25428368229643167,0.1281389114324531,13.992855319769443,269.2743953665108,0.08632324368771246,0.004735494000782783,0.14340342234526499,0.07207844017570994,269.2743953665109,14.45683229480096
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,min,0.1602787456445993,0.5769419838022132,11.0,11.0,0.7206125669311075,0.9877952271248439,0.5204081632653061,0.7591225347568287,56169.0,51.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,25%,0.375,0.6867520897492301,16.0,123.0,0.8339595171475421,0.9972213917661749,0.7040816326530612,0.8459384298889526,56705.0,69.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,50%,0.46779661016949153,0.733207448158135,29.0,128.0,0.8381507786335514,0.9977489756080403,0.7040816326530612,0.8509153041305508,56735.0,69.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,75%,0.5101449275362319,0.7543284882092538,29.0,158.0,0.9155444583431328,0.9978369062483513,0.8383838383838383,0.9190951954875771,56740.0,83.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,47795,max,0.8601036269430051,0.9299331123258168,47.0,694.0,0.941498281943874,0.999806552591316,0.8888888888888888,0.9430551403275318,56852.0,88.0
Creditcard Fraud,No Oversampling,Logistic Regression,47795,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,47795,mean,0.6205989329129147,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8
Creditcard Fraud,No Oversampling,Logistic Regression,47795,std,0.12860028894173683,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555
Creditcard Fraud,No Oversampling,Logistic Regression,47795,min,0.453125,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0
Creditcard Fraud,No Oversampling,Logistic Regression,47795,25%,0.5147058823529411,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,No Oversampling,Logistic Regression,47795,50%,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,No Oversampling,Logistic Regression,47795,75%,0.7272727272727273,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0
Creditcard Fraud,No Oversampling,Logistic Regression,47795,max,0.7323943661971831,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,mean,0.26746165246219655,0.6310983385193121,11.4,583.4,0.9350431221479619,0.9897402528885216,0.8840032982890126,0.9368717755887671,56279.6,87.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,std,0.11876724188840906,0.06084112061134111,4.774934554525329,365.82277129779663,0.02336688731402091,0.006433406104106314,0.04884751168875378,0.0220764107202715,365.8227712977966,5.1478150704935
Creditcard Fraud,SMOTE,Logistic Regression,47795,min,0.14042867701404288,0.5650487097038661,4.0,187.0,0.9093756015456047,0.9796176775759281,0.8367346938775511,0.9125287524221304,55704.0,82.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,25%,0.1943127962085308,0.5941496240191206,10.0,396.0,0.918778279899881,0.9883228109667095,0.8469387755102041,0.9218250847812878,56199.0,83.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,50%,0.25251076040172166,0.6239546515631924,12.0,511.0,0.9341669584299365,0.9910134885602236,0.8787878787878788,0.935911886037627,56352.0,87.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,75%,0.29896907216494845,0.647684673719008,15.0,664.0,0.9433396330044315,0.993035893287375,0.8979591836734694,0.9444863361168465,56467.0,88.0
Creditcard Fraud,SMOTE,Logistic Regression,47795,max,0.45108695652173914,0.7246540335913731,16.0,1159.0,0.9695551378599558,0.9967113940523715,0.9595959595959596,0.9696068185859438,56676.0,95.0
