Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,492,0.7521367521367521,0.8758132964659484,11.0,47.0,0.9424193225622739,0.9991734519810773,0.8888888888888888,0.9440311704349831,56816.0,88.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,492,0.6353790613718412,0.8172451722778675,11.0,90.0,0.9420626298945916,0.9984172484744034,0.8888888888888888,0.943653068681646,56773.0,88.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,492,0.7323943661971831,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,492,0.1444866920152091,0.567248185762864,4.0,1121.0,0.9698857856949485,0.9802859504422912,0.9595959595959596,0.9699409550191254,55742.0,95.0
Creditcard Fraud,2,K-Means,Logistic Regression,492,0.8777777777777778,0.9387921804910833,20.0,2.0,0.893281440101585,0.9999648277438756,0.797979797979798,0.8989723128618368,56861.0,79.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,492,0.7976878612716763,0.8986900858344737,30.0,5.0,0.8348104048093586,0.9999120693596891,0.696969696969697,0.8484408831646932,56858.0,69.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,492,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,492,0.29194630872483224,0.6441113020399539,12.0,410.0,0.934051146113411,0.9927896874945044,0.8787878787878788,0.9357887831411916,56453.0,87.0
Creditcard Fraud,3,K-Means,Logistic Regression,492,0.7204301075268817,0.8599864541995386,31.0,21.0,0.8266927983446223,0.9996306913106942,0.6836734693877551,0.8416520803492247,56842.0,67.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,492,0.6037735849056604,0.8016099010206422,50.0,13.0,0.69977420743313,0.9997713803351916,0.4897959183673469,0.7447836493512694,56850.0,48.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,492,0.5147058823529411,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,492,0.1943127962085308,0.5941496240191206,16.0,664.0,0.9093756015456047,0.9883228109667095,0.8367346938775511,0.9125287524221304,56199.0,82.0
Creditcard Fraud,4,K-Means,Logistic Regression,492,0.8324873096446701,0.9160985679900642,16.0,17.0,0.9145952876427808,0.9997010358229429,0.8367346938775511,0.918217864850247,56846.0,82.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,492,0.49411764705882355,0.7463016613030027,14.0,158.0,0.9245329593597167,0.9972213917661749,0.8571428571428571,0.927182124454516,56705.0,84.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,492,0.7272727272727273,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,492,0.25251076040172166,0.6239546515631924,10.0,511.0,0.9433396330044315,0.9910134885602236,0.8979591836734694,0.9444863361168465,56352.0,88.0
Creditcard Fraud,5,K-Means,Logistic Regression,492,0.8248587570621468,0.9122931088049318,25.0,6.0,0.8630291767711291,0.9998944832316269,0.7448979591836735,0.8723962212076504,56857.0,73.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,492,0.2631578947368421,0.6312099047703612,83.0,1.0,0.39122695808890867,0.9999824138719379,0.15306122448979592,0.576521819180867,56862.0,15.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,492,0.453125,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,492,0.4474393530997305,0.7228169984580827,15.0,190.0,0.9187539629816479,0.9966586356681849,0.8469387755102041,0.9217987055891945,56673.0,83.0
