Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss
Creditcard Fraud,K-Means,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,400,mean,0.7883327041133816,0.4969351165164415,0.8939878558265028,22.8,17.8,0.8737749854042518,0.9996869669204932,0.7679447536590395,0.8838158602897662,56845.2,75.6,
Creditcard Fraud,K-Means,Logistic Regression,400,std,0.08664680580612263,0.1640632928737712,0.043395319381910484,12.049896265113654,17.398275776639476,0.0725552757718497,0.0003059683058691921,0.12344799935565003,0.06167241517060179,17.398275776639476,12.401612798341997,
Creditcard Fraud,K-Means,Logistic Regression,400,min,0.6831683168316832,0.3509694837186439,0.8413027655210121,12.0,1.0,0.7626417405275577,0.9993493132616992,0.5816326530612245,0.7908075334665812,56826.0,57.0,
Creditcard Fraud,K-Means,Logistic Regression,400,25%,0.7307692307692307,0.37969029900766227,0.8652000259642262,15.0,2.0,0.8388374456421988,0.9993844855178236,0.7040816326530612,0.8517330590854424,56828.0,69.0,
Creditcard Fraud,K-Means,Logistic Regression,400,50%,0.7802690582959642,0.4327983703985572,0.8899190517115478,17.0,14.0,0.9100844442726447,0.9997537942071294,0.8282828282828283,0.9141238280133519,56849.0,82.0,
Creditcard Fraud,K-Means,Logistic Regression,400,75%,0.8512820512820513,0.5742283715435947,0.9255135273336756,29.0,35.0,0.9201794685154993,0.9999648277438756,0.8469387755102041,0.9233462848586669,56861.0,83.0,
Creditcard Fraud,K-Means,Logistic Regression,400,max,0.8961748633879781,0.7469890579137495,0.9480039086020521,41.0,37.0,0.9371318280633584,0.9999824138719379,0.8787878787878788,0.9390685960247891,56862.0,87.0,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,mean,0.08339933546244167,7.662201822218526,0.4465657696321312,40.4,17101.8,0.6236966681690507,0.6992455551061323,0.5898783755926613,0.6445619653493968,39761.2,58.0,0.5886934774153592
