Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,K-Means,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,400,mean,0.7720836880727455,0.5800260133463064,0.8858589656289227,25.8,15.8,0.8544233273131147,0.9997221391766177,0.7373325087610803,0.8685273239688488,56847.2,72.6,,400.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,400,std,0.08939499311016338,0.29028875928419207,0.044753356277912354,15.352524222420234,13.971399357258385,0.0940165941922199,0.00024570281830468696,0.15720876353620616,0.07853640708897192,13.971399357258385,15.725775020646836,,0.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,400,min,0.6463414634146342,0.3055611153433446,0.8229158045813127,14.0,1.0,0.7353180844255892,0.9993493132616992,0.5408163265306123,0.770293853432902,56826.0,53.0,,400.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,400,25%,0.7388535031847133,0.3985747143068652,0.8692465555742492,15.0,7.0,0.7693024935467643,0.9996306913106942,0.5918367346938775,0.7959095742829077,56842.0,58.0,,400.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,400,50%,0.7692307692307693,0.41897012456093563,0.8843911161264266,15.0,13.0,0.9201228144444078,0.9997713803351916,0.8469387755102041,0.9232847334104493,56850.0,83.0,,400.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,400,75%,0.8217821782178217,0.8093021318492877,0.9107328056055695,40.0,21.0,0.9210756741671221,0.9998768971035648,0.8484848484848485,0.9241808727942067,56856.0,84.0,,400.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,400,max,0.8842105263157894,0.967721980671099,0.942008546257056,45.0,37.0,0.9262975699816901,0.9999824138719379,0.8585858585858586,0.9289675859237789,56862.0,85.0,,400.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,mean,0.008741276883337434,5.42498689454651,0.436021942030031,33.4,13193.2,0.631943898408465,0.7679826952499867,0.6596371882086167,0.7138099417293018,43669.8,65.0,0.5885336581331156,400.0,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,std,0.005159964933314034,1.5137090825961432,0.04118920223174729,36.41840194187548,7723.682521958033,0.30179312109075884,0.1358296699428105,0.3719597559398568,0.1331069098237328,7723.682521958033,36.72873534441391,0.0017125015904854368,0.0,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,min,0.001401541695865452,3.0512521519464264,0.38554420948716894,9.0,1328.0,0.09982871156326634,0.6167806833969365,0.01020408163265306,0.49342485178303597,35072.0,1.0,0.5871126720298034,400.0,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,25%,0.00793928779918272,5.164159456504436,0.4161834632235024,13.0,10754.0,0.697762362342762,0.7016689235531013,0.6938775510204082,0.6977732372867547,39899.0,68.0,0.5871252979388102,400.0,
