Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,3330,0.743801652892562,0.2578049385197012,0.8716281359587807,9.0,53.0,0.9530181412051372,0.9990679352127042,0.9090909090909091,0.9540794221518066,56810.0,90.0,,3330.0,1000.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,3330,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,3330,0.13798111837327523,1.0727931450776662,0.5637172067205567,4.0,1183.0,0.9693462495374067,0.9791956105024356,0.9595959595959596,0.9693957850491977,55680.0,95.0,,3330.0,
Creditcard Fraud,2,K-Means,Logistic Regression,3330,0.8864864864864865,0.2362975805963785,0.9431509266236142,17.0,4.0,0.9100684387073692,0.9999296554877513,0.8282828282828283,0.9141062418852898,56859.0,82.0,,3330.0,1000.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,3330,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,3330,0.29292929292929293,1.1960583960846982,0.6446116507883031,12.0,408.0,0.934067691609194,0.9928248597506287,0.8787878787878788,0.9358063692692538,56455.0,87.0,,3330.0,
Creditcard Fraud,3,K-Means,Logistic Regression,3330,0.6699029126213593,0.2869670377796951,0.8346524658431993,29.0,39.0,0.8388079231459945,0.9993141410055748,0.7040816326530612,0.851697886829318,56824.0,69.0,,3330.0,1000.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,3330,0.004284791923460703,6.097797413106054,0.28968873400401063,25.0,33903.0,0.548427785532,0.4037775003077572,0.7448979591836735,0.5743377297457154,22960.0,73.0,0.5877746257294945,3330.0,1000.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,3330,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,3330,0.19226260257913247,1.2727721567761252,0.5930844891659957,16.0,673.0,0.90930278256206,0.9881645358141498,0.8367346938775511,0.9124496148458504,56190.0,82.0,,3330.0,
Creditcard Fraud,4,K-Means,Logistic Regression,3330,0.8691099476439791,0.2351550766262367,0.9344450653537619,15.0,10.0,0.9202118407043753,0.9998241387193781,0.8469387755102041,0.9233814571147911,56853.0,83.0,,3330.0,1000.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,3330,0.7938144329896907,15.037420225942144,0.8967313583068881,21.0,19.0,0.8862571579092365,0.9996658635668185,0.7857142857142857,0.8926900746405521,56844.0,77.0,0.588552268797185,3330.0,1000.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,3330,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,3330,0.24684431977559607,1.1168306901017333,0.6210504403248657,10.0,527.0,0.9432057024815724,0.9907321105112288,0.8979591836734694,0.944345647092349,56336.0,88.0,,3330.0,
Creditcard Fraud,5,K-Means,Logistic Regression,3330,0.8131868131868132,0.29294680900291414,0.906443942904291,24.0,10.0,0.8688896636538084,0.9998241387193781,0.7551020408163265,0.8774630897678524,56853.0,74.0,,3330.0,1000.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,3330,0.6530612244897959,2.9603386206226046,0.826306485679308,50.0,1.0,0.6998480583338088,0.9999824138719379,0.4897959183673469,0.7448891661196424,56862.0,48.0,0.5906102972332297,3330.0,1000.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,3330,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,3330,0.453551912568306,1.138385799782915,0.7258953335077254,15.0,185.0,0.9187944908211618,0.9967465663084959,0.8469387755102041,0.92184267090935,56678.0,83.0,,3330.0,
