Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,ae_n_init,k,kmeans_n_init
Creditcard Fraud,K-Means,Logistic Regression,1000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,0.8002670200213787,0.4018962404013027,0.8999576404205936,19.2,20.8,0.8959130850595945,0.9996342085363065,0.8046588332302618,0.9021465208832842,56842.2,79.2,,,1000.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,std,0.0694179819613012,0.09563610352273537,0.03477307511146436,7.949842765740716,15.865055940651455,0.0460766789806581,0.0002790049054859996,0.08153751022458305,0.04072457586314972,15.865055940651454,8.28854631404084,,,0.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,1000,min,0.7243243243243244,0.2714224177052471,0.8619379607149638,11.0,2.0,0.8267000701609064,0.9991910381091396,0.6836734693877551,0.8416608734132557,56817.0,67.0,,,1000.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,0.7553648068669528,0.37256899629676266,0.8774317239601672,14.0,17.0,0.8746715988249147,0.9996482774387563,0.7653061224489796,0.882485993007899,56843.0,75.0,,,1000.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,0.78125,0.37320002928713514,0.8904403521498286,17.0,19.0,0.9100844442726447,0.9996658635668185,0.8282828282828283,0.9141238280133519,56844.0,82.0,,,1000.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,0.8442211055276382,0.4886459757918349,0.9219742566759564,23.0,20.0,0.9256816959052129,0.9997010358229429,0.8571428571428571,0.9284219464829,56846.0,84.0,,,1000.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,0.8961748633879781,0.5036437829255336,0.9480039086020521,31.0,46.0,0.9424276161342942,0.9999648277438756,0.8888888888888888,0.9440399634990142,56861.0,88.0,,,1000.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.04711350293101371,8.627865034734034,0.44172015246688145,73.33333333333333,13870.333333333334,0.40796797664194934,0.7560745417348129,0.25448361162646876,0.5052790766806409,42992.666666666664,25.0,0.5883043906489326,10.0,1000.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,std,0.07150886958034476,7.510963286949055,0.13459333886841054,20.5993527406405,16963.39094442303,0.20440434773882715,0.29832036551752517,0.20869373848879808,0.18587513382206508,16963.39094442303,20.42057785666214,0.0020050142110523226,0.0,0.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,min,0.0010938259601361207,2.513519309988066,0.29763870185085256,50.0,32.0,0.2774110603420844,0.4232629302006577,0.09183673469387756,0.30254055600941976,24068.0,9.0,0.5871412241596757,10.0,1000.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,25%,0.005922052957671644,4.435838545717862,0.3804719849191046,65.5,4408.0,0.2901857706410529,0.6343931906512144,0.13682745825602968,0.4240887726536818,36073.5,13.5,0.5871467996300992,10.0,1000.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,50%,0.010750279955207167,6.35815778144766,0.4633052679873567,81.0,8784.0,0.3029604809400214,0.845523451101771,0.18181818181818182,0.5456369892979438,48079.0,18.0,0.5871523751005228,10.0,1000.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,75%,0.0701233414164525,11.68503789710702,0.5137608777748959,85.0,20789.5,0.4732464347918818,0.9224803475018906,0.33580705009276435,0.6066483370162514,52455.0,33.0,0.5888859738935611,10.0,1000.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,max,0.12949640287769784,17.01191801276638,0.564216487562435,89.0,32795.0,0.6435323886437422,0.99943724390201,0.4897959183673469,0.6676596847345591,56831.0,48.0,0.5906195726865995,10.0,1000.0,1000.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,count,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,mean,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8,,,,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,std,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555,,,,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,min,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0,,,,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,25%,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,50%,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,75%,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0,,,,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,max,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0,,,,
Creditcard Fraud,SMOTE,Logistic Regression,1000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,mean,0.2670556536899245,1.1642187596806461,0.6308980652534192,11.4,582.8,0.935047515597225,0.9897508045653589,0.8840032982890126,0.9368770514271857,56280.2,87.0,,,1000.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,std,0.1179626305559775,0.06703081917170454,0.06042615016532222,4.774934554525329,363.16896893870216,0.023332724386729144,0.006386735995967519,0.04884751168875378,0.02203919015573799,363.16896893870216,5.1478150704935,,,0.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,min,0.14074074074074075,1.0869959823230246,0.5652182037954951,4.0,188.0,0.9094969535620443,0.9796704359601147,0.8367346938775511,0.9126606483825966,55707.0,82.0,,,1000.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,25%,0.19782870928829915,1.1222610544556644,0.5959742964619456,10.0,394.0,0.91877017433198,0.9885866028876422,0.8469387755102041,0.9218162917172565,56214.0,83.0,,,1000.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,50%,0.24684431977559607,1.153669175589267,0.6210504403248657,12.0,527.0,0.9341835018745462,0.9907321105112288,0.8787878787878788,0.9359294721656891,56336.0,87.0,,,1000.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,75%,0.3,1.1997369219695297,0.6482089920948617,15.0,649.0,0.9432057024815724,0.9930710655434993,0.8979591836734694,0.944345647092349,56469.0,88.0,,,1000.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,max,0.44986449864498645,1.258430664065746,0.7240383935899278,16.0,1156.0,0.9695812457359818,0.9966938079243093,0.9595959595959596,0.969633197778037,56675.0,95.0,,,1000.0,
