Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,ae_n_init,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,1000,0.7553648068669528,0.37256899629676266,0.8774317239601672,11.0,46.0,0.9424276161342942,0.9991910381091396,0.8888888888888888,0.9440399634990142,56817.0,88.0,,,1000.0,1000.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,0.14074074074074075,1.0869959823230246,0.5652182037954951,4.0,1156.0,0.9695812457359818,0.9796704359601147,0.9595959595959596,0.969633197778037,55707.0,95.0,,,1000.0,
Creditcard Fraud,2,K-Means,Logistic Regression,1000,0.8961748633879781,0.5036437829255336,0.9480039086020521,17.0,2.0,0.9100844442726447,0.9999648277438756,0.8282828282828283,0.9141238280133519,56861.0,82.0,,,1000.0,1000.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.0010938259601361207,6.35815778144766,0.29763870185085256,81.0,32795.0,0.2774110603420844,0.4232629302006577,0.18181818181818182,0.30254055600941976,24068.0,18.0,0.5871412241596757,10.0,1000.0,1000.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,0.3,1.1997369219695297,0.6482089920948617,12.0,394.0,0.9341835018745462,0.9930710655434993,0.8787878787878788,0.9359294721656891,56469.0,87.0,,,1000.0,
Creditcard Fraud,3,K-Means,Logistic Regression,1000,0.7243243243243244,0.4886459757918349,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,0.8416608734132557,56843.0,67.0,,,1000.0,1000.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.010750279955207167,2.513519309988066,0.4633052679873567,50.0,8784.0,0.6435323886437422,0.845523451101771,0.4897959183673469,0.6676596847345591,48079.0,48.0,0.5871523751005228,10.0,1000.0,1000.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,1000,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,1000,0.19782870928829915,1.258430664065746,0.5959742964619456,16.0,649.0,0.9094969535620443,0.9885866028876422,0.8367346938775511,0.9126606483825966,56214.0,82.0,,,1000.0,
Creditcard Fraud,4,K-Means,Logistic Regression,1000,0.8442211055276382,0.2714224177052471,0.9219742566759564,14.0,17.0,0.9256816959052129,0.9997010358229429,0.8571428571428571,0.9284219464829,56846.0,84.0,,,1000.0,1000.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,1000,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,1000,0.24684431977559607,1.1222610544556644,0.6210504403248657,10.0,527.0,0.9432057024815724,0.9907321105112288,0.8979591836734694,0.944345647092349,56336.0,88.0,,,1000.0,
Creditcard Fraud,5,K-Means,Logistic Regression,1000,0.78125,0.37320002928713514,0.8904403521498286,23.0,19.0,0.8746715988249147,0.9996658635668185,0.7653061224489796,0.882485993007899,56844.0,75.0,,,1000.0,1000.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.12949640287769784,17.01191801276638,0.564216487562435,89.0,32.0,0.3029604809400214,0.99943724390201,0.09183673469387756,0.5456369892979438,56831.0,9.0,0.5906195726865995,10.0,1000.0,1000.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,1000,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,1000,0.44986449864498645,1.153669175589267,0.7240383935899278,15.0,188.0,0.91877017433198,0.9966938079243093,0.8469387755102041,0.9218162917172565,56675.0,83.0,,,1000.0,
