Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,k
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.8151146523560318,0.48837717600475283,0.9073999309823545,20.8,15.0,0.8865972509558906,0.9997362080790673,0.7883323026180168,0.8940342553485421,56848.0,77.6,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.07480099871378718,0.044057126212298826,0.03746949620650468,8.729261137118078,17.7341478509682,0.0507589341690333,0.0003118749951808459,0.08958530820627165,0.04473368334039443,17.7341478509682,9.126883367283709,0.0
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7362637362637363,0.44944425503782304,0.8679208605707638,11.0,2.0,0.8267218852259832,0.9992086242372017,0.6836734693877551,0.8416872526053489,56818.0,67.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.7586206896551724,0.4638263255769104,0.8790640654059909,16.0,4.0,0.8390440740299372,0.9997010358229429,0.7040816326530612,0.8519792648783131,56846.0,69.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.7931034482758621,0.47431007278855297,0.8963934795973678,17.0,7.0,0.9100684387073692,0.9998768971035648,0.8282828282828283,0.9141062418852898,56856.0,82.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.8864864864864865,0.49221944555207786,0.9431509266236142,29.0,17.0,0.9147159471828343,0.9999296554877513,0.8367346938775511,0.9183497608107134,56859.0,82.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.9010989010989011,0.5620857810683999,0.9504703227140365,31.0,45.0,0.9424359096333296,0.9999648277438756,0.8888888888888888,0.9440487565630453,56861.0,88.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.5893343563450952,0.5900028986439981,0.0015632898535276496,0.0026937881059992484,0.38125129768555993,8.874385576802347,0.6889262718073569,25.0,359.6666666666667,0.8546858302947627,0.9936748559403009,0.7458256029684601,0.8697502294543806,56503.333333333336,73.66666666666667,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,std,0.0017598032696403726,0.008283247338563171,0.00015526937126452317,0.0019314400840632815,0.2308559695283696,5.157818954469399,0.11685367967869652,19.974984355438178,350.5001188777735,0.12201337930373084,0.00616393997639547,0.20461596809349147,0.09977396676266327,350.50011887777345,20.55075018906447,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,min,0.587867779749958,0.5804644263620903,0.001384254166233965,0.001570586267215531,0.1881298992161254,2.924689405623526,0.5908578648260117,12.0,9.0,0.7142291852086388,0.9875138490758489,0.5102040816326531,0.7550229032400466,56153.0,50.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,25%,0.5883586612202458,0.5873119529844644,0.0015144004154126868,0.0015786804456360479,0.25340560894872205,7.270844168726993,0.6242789971289352,13.5,184.5,0.8147963976309698,0.9905914214867313,0.6793444650587508,0.8365111260101977,56328.0,67.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,50%,0.5888495426905336,0.5941594796068385,0.0016445466645914084,0.0015867746240565647,0.31868131868131866,11.616998931830459,0.6577001294318587,15.0,360.0,0.9153636100533007,0.9936689938976135,0.8484848484848485,0.9179993487803488,56503.0,84.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,75%,0.5900676446426638,0.5947721347849522,0.0016528076971744922,0.0032553890253911068,0.47781199692027715,11.849233662391757,0.7379604752980294,31.5,535.0,0.9249141528378249,0.9967553593725269,0.8636363636363636,0.9271138925615475,56678.5,85.5,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,max,0.5912857465947942,0.5953847899630659,0.0016610687297575761,0.004924003426725649,0.6369426751592356,12.081468392953054,0.8182208211642001,48.0,710.0,0.934464695622349,0.9998417248474404,0.8787878787878788,0.9362284363427462,56854.0,87.0,1000.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,mean,,,,,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,std,,,,,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,min,,,,,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0,
