Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,k
Creditcard Fraud,1,K-Means,Logistic Regression,1000,,,,,0.7426160337552743,0.47797402680023193,0.8710397364234076,11.0,50.0,0.9423944414082864,0.9991206935968908,0.8888888888888888,0.9440047912428899,56813.0,88.0,1000.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,,,,,0.14514896867838045,1.0783294408055588,0.5676062296661893,4.0,1115.0,0.96993798294412,0.9803914672106643,0.9595959595959596,0.969993713403312,55748.0,95.0,1000.0
Creditcard Fraud,2,K-Means,Logistic Regression,1000,,,,,0.8864864864864865,0.43491493270784165,0.9431509266236142,17.0,4.0,0.9100684387073692,0.9999296554877513,0.8282828282828283,0.9141062418852898,56859.0,82.0,1000.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5876478610012283,0.59403950219777,0.0015982295746458984,0.0015160875023070167,0.007050261541960427,2.5685822792650193,0.3539055196129075,6.0,26190.0,0.7118477554201862,0.5394193060513867,0.9393939393939394,0.739406622722663,30673.0,93.0,1000.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,,,,,0.292436974789916,1.2014575705020625,0.6443610634346301,12.0,409.0,0.9340594188979373,0.9928072736225665,0.8787878787878788,0.9357975762052226,56454.0,87.0,1000.0
Creditcard Fraud,3,K-Means,Logistic Regression,1000,,,,,0.723404255319149,0.43802942945210255,0.8614735240757736,30.0,22.0,0.832831971883903,0.9996131051826319,0.6938775510204082,0.84674532810152,56841.0,68.0,1000.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,1000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,
Creditcard Fraud,3,SMOTE,Logistic Regression,1000,,,,,0.19664268585131894,1.2719291247178743,0.5953590480756312,16.0,654.0,0.9094565046890568,0.9884986722473313,0.8367346938775511,0.9126166830624411,56209.0,82.0,1000.0
Creditcard Fraud,4,K-Means,Logistic Regression,1000,,,,,0.8864864864864865,0.3493060856486818,0.9431509250002792,16.0,5.0,0.9146918165481465,0.9999120693596891,0.8367346938775511,0.9183233816186201,56858.0,82.0,1000.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5890686584430608,0.5890897207176754,0.0015890277811694926,0.0017227217163461005,0.008623680428210339,7.081944299927933,0.39762348350174725,11.0,19992.0,0.7587071247808109,0.6484181277808065,0.8877551020408163,0.7680866149108114,36871.0,87.0,1000.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,1000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,
Creditcard Fraud,4,SMOTE,Logistic Regression,1000,,,,,0.24929178470254956,1.12011224721571,0.6223052337871142,10.0,520.0,0.9432642994252181,0.990855213407664,0.8979591836734694,0.9444071985405668,56343.0,88.0,1000.0
Creditcard Fraud,5,K-Means,Logistic Regression,1000,,,,,0.7934782608695652,0.5324529705137859,0.8965720798448302,25.0,13.0,0.8629760488344556,0.9997713803351916,0.7448979591836735,0.8723346697594326,56850.0,73.0,1000.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5907324185881876,0.5799246669345097,0.0014312417696767854,0.0013770521054399902,0.4852941176470588,15.675722716761275,0.7423394638645714,65.0,5.0,0.580262944345323,0.9999120693596891,0.336734693877551,0.66832338161862,56858.0,33.0,1000.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,1000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,
Creditcard Fraud,5,SMOTE,Logistic Regression,1000,,,,,0.453551912568306,1.1459771100954863,0.7258953335077254,15.0,185.0,0.9187944908211618,0.9967465663084959,0.8469387755102041,0.92184267090935,56678.0,83.0,1000.0
