Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,10000,,,,,0.6896551724137931,0.18484444242508058,0.8444712697274794,9.0,72.0,0.9528587602957184,0.9987337987795227,0.9090909090909091,0.9539123539352159,56791.0,90.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5890277750358313,0.5882306674768121,0.001452599998605055,0.001748853558845896,0.5670498084291188,24.79976468823345,0.783027820730928,25.0,88.0,0.8638969678446046,0.9984524207305278,0.7474747474747475,0.8729635841026375,56775.0,74.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,10000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,10000,,,,,0.1412639405204461,1.0789473108879233,0.5655022391380777,4.0,1151.0,0.9696247573005267,0.9797583666004256,0.9595959595959596,0.9696771630981924,55712.0,95.0
Creditcard Fraud,2,K-Means,Logistic Regression,10000,,,,,0.8913043478260869,0.16862845624523448,0.9455642540959166,17.0,3.0,0.9100764415251934,0.9999472416158135,0.8282828282828283,0.9141150349493209,56860.0,82.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5876576685628682,0.5939221366068514,0.0015882896447797852,0.0014853591003377322,0.01730202490731058,17.660706354488674,0.4586679362000892,8.0,10329.0,0.8673081098011547,0.8183528832456958,0.9191919191919192,0.8687724012188075,46534.0,91.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,10000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,10000,,,,,0.29845626072041165,1.188835224484619,0.647423840650392,12.0,397.0,0.9341586865977657,0.9930183071593127,0.8787878787878788,0.9359030929735959,56466.0,87.0
Creditcard Fraud,3,K-Means,Logistic Regression,10000,,,,,0.12646793134598014,0.17537311442179515,0.5589481880724936,28.0,939.0,0.8381470318291452,0.9834866257496087,0.7142857142857143,0.8488861700176615,55924.0,70.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5874955047236183,0.5944284318075704,0.0015176774249494207,0.0017058335435148051,0.1273100616016427,17.4853130437874,0.5598922373029285,36.0,814.0,0.7896813054473543,0.9856848917573818,0.6326530612244898,0.8091689764909358,56049.0,62.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,10000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,10000,,,,,0.1936245572609209,1.2759548008278943,0.5937921592406749,16.0,667.0,0.9093513291990003,0.9882700525825229,0.8367346938775511,0.912502373230037,56196.0,82.0
Creditcard Fraud,4,K-Means,Logistic Regression,10000,,,,,0.7813953488372093,0.14682852050436068,0.8904910028856295,14.0,33.0,0.925551414535734,0.9994196577739479,0.8571428571428571,0.9282812574584025,56830.0,84.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5887965043361059,0.5886969351778539,0.001506016164900527,0.001589928225632682,0.56,18.191067412952535,0.7797099462082059,56.0,10.0,0.6545961040604825,0.9998241387193781,0.42857142857142855,0.7141977836454034,56853.0,42.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,10000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,10000,,,,,0.25323741007194245,1.1211445862432612,0.6243268488532585,10.0,509.0,0.9433563729828367,0.991048660816348,0.8979591836734694,0.9445039222449086,56354.0,88.0
Creditcard Fraud,5,K-Means,Logistic Regression,10000,,,,,0.7916666666666666,0.15875089815070575,0.8956574782379318,22.0,18.0,0.8804911788825073,0.9996834496948807,0.7755102040816326,0.8875968268882566,56845.0,76.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5910087885872366,0.5806679193724621,0.0015449090401321746,0.001614501249116108,0.44029850746268656,17.53369808588201,0.7194893561474482,39.0,111.0,0.7751552079430494,0.9980479397850975,0.6020408163265306,0.800044378055814,56752.0,59.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,10000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,10000,,,,,0.44623655913978494,1.146779118976471,0.7222111901819577,15.0,191.0,0.9187458571992128,0.9966410495401228,0.8469387755102041,0.9217899125251634,56672.0,83.0
