Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.8145326794712666,0.08010006590502661,0.9071071841030512,20.4,15.8,0.8890436433707473,0.9997221391766175,0.7924345495774068,5.2,0.8960783443770122,56847.2,78.0
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.07501942648913393,0.013572757744787837,0.037580910164964336,8.17312669668102,17.683325479106017,0.0475523675130612,0.0003109812264408663,0.08390198047456114,1.0954451150103321,0.0419007346040658,17.683325479106017,8.54400374531753
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7243243243243244,0.06139702974953254,0.8619379607149638,12.0,3.0,0.8267000701609064,0.9992086242372017,0.6836734693877551,4.0,0.8416608734132557,56818.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.7532467532467533,0.07624863920747682,0.8763727015598283,15.0,4.0,0.851139725331302,0.9996482774387563,0.7244897959183674,4.0,0.8622097257030593,56843.0,71.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.8208092485549133,0.07636948166076518,0.9102683593432594,17.0,7.0,0.9100764415251934,0.9998768971035648,0.8282828282828283,6.0,0.9141150349493209,56856.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.8829787234042553,0.09070557813155578,0.9413926448012889,27.0,20.0,0.9202361190986993,0.9999296554877513,0.8469387755102041,6.0,0.9234078363068845,56859.0,83.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.8913043478260869,0.09577960077580272,0.9455642540959166,31.0,45.0,0.9370658607376352,0.9999472416158135,0.8787878787878788,6.0,0.9389982515125402,56860.0,87.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.5890330057630928,0.5895866177032234,0.0016422487104410816,0.0016596477223041165,0.15383989203574797,23.65545609819961,0.5561055003128537,23.0,4352.0,0.8370401410629921,0.9234651706733727,0.765563801278087,2.0,0.8445144859757299,52511.0,75.25
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,std,0.0016525677981013994,0.006515742913450346,1.992736780161261e-05,8.491108507762672e-05,0.17855126050696152,2.5469838113002288,0.10962777753695754,9.899494936611665,4962.834069359966,0.02968130444235121,0.08727703549513682,0.10146673800225955,0.816496580927726,0.026365617247885942,4962.834069359966,10.3400515794974
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,min,0.5877660391389798,0.5805446242583363,0.0016171991018206254,0.0015755185333337634,0.016322787712058688,21.39153584224225,0.45609818221545817,10.0,160.0,0.8069842957316976,0.8115294655575682,0.6530612244897959,1.0,0.8209392104976982,46146.0,64.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,25%,0.5878506717860248,0.5869678925036196,0.0016317778039831668,0.0015925013139390812,0.022242912884226314,21.480422939942123,0.47765831218452426,19.75,544.75,0.8148034855429951,0.8756177127481842,0.721938775510204,1.75,0.824077594124367,49790.25,70.75
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,50%,0.5885221319206222,0.5916360110102226,0.0016443180473799926,0.001660703270416375,0.10076062624031132,23.646009777421483,0.5352099641501189,24.0,3265.5,0.8357754247961862,0.9425724988129363,0.7551020408163265,2.0,0.8401917021368284,53597.5,74.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,75%,0.5897044658976902,0.5942547362098264,0.0016547889538379072,0.0017278496787814105,0.23235760539183295,25.82104293567897,0.6136571522784483,27.25,7072.75,0.8580120803161831,0.9904199567381249,0.7987270665842094,2.25,0.8606285939881914,56318.25,78.5
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,max,0.591321720072147,0.5945298245341123,0.0016631596451837153,0.0017416658150499532,0.39751552795031053,25.93826899571323,0.6979038907357187,34.0,10717.0,0.8696254189278984,0.9971862195100505,0.898989898989899,3.0,0.8767353291315647,56703.0,89.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,mean,,,,,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,,0.752679906769812,56854.8,49.8
Creditcard Fraud,No Oversampling,Logistic Regression,1000,std,,,,,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,,0.09675266613005051,15.578831791889916,19.279522815671555
Creditcard Fraud,No Oversampling,Logistic Regression,1000,min,,,,,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,,0.6479503906094383,56827.0,29.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,25%,,,,,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,,0.6785450493793352,56860.0,35.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,50%,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,,0.7575669645117264,56862.0,51.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,75%,,,,,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,,0.7857142857142857,56862.0,56.0
Creditcard Fraud,No Oversampling,Logistic Regression,1000,max,,,,,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,,0.8936228436342746,56863.0,78.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,mean,,,,,0.12041011297509234,0.07917795347480494,0.5529801772121783,9.4,1604.6,0.9370118992882024,0.9717812989114186,0.9043290043290042,0.0,0.9380551516202115,55258.4,89.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,std,,,,,0.05501251722810205,0.005268497974658153,0.03141344098560511,4.774934554525329,927.8870082073571,0.01883502492548171,0.01631793975357186,0.04877333550789788,0.0,0.01808204970537344,927.8870082073571,5.1478150704935
Creditcard Fraud,SMOTE,Logistic Regression,1000,min,,,,,0.059969088098918086,0.07133450337232228,0.516247858380603,2.0,714.0,0.9132714998932426,0.9465557568190212,0.8571428571428571,0.0,0.9151092475398264,53824.0,84.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,25%,,,,,0.08797653958944282,0.07759397668910539,0.5356486795340757,8.0,881.0,0.925449134689206,0.9673249740604611,0.8673469387755102,0.0,0.9273952216695551,55005.0,85.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,50%,,,,,0.09807355516637478,0.0791249910006786,0.5421523030757949,10.0,1531.0,0.9407770766377078,0.9730756379367954,0.898989898989899,0.0,0.9417482600835572,55332.0,89.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,75%,,,,,0.166510757717493,0.0829037775594843,0.5793078355509621,13.0,1858.0,0.942528339125952,0.9845066211772154,0.9183673469387755,0.0,0.9428461604996183,55982.0,90.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,max,,,,,0.189520624303233,0.08493251875243413,0.5915442095194554,14.0,3039.0,0.9630334460949032,0.9874435045636002,0.9797979797979798,0.0,0.9631768683085005,56149.0,97.0
