Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,1000,,,,,0.7532467532467533,0.09577960077580272,0.8763727015598283,12.0,45.0,0.9370658607376352,0.9992086242372017,0.8787878787878788,6.0,0.9389982515125402,56818.0,87.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,,,,,0.059969088098918086,0.0829037775594843,0.516247858380603,2.0,3039.0,0.9630334460949032,0.9465557568190212,0.9797979797979798,0.0,0.9631768683085005,53824.0,97.0
Creditcard Fraud,2,K-Means,Logistic Regression,1000,,,,,0.8913043478260869,0.07624863920747682,0.9455642540959166,17.0,3.0,0.9100764415251934,0.9999472416158135,0.8282828282828283,4.0,0.9141150349493209,56860.0,82.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5878788826683731,0.5941630401017312,0.0016631596451837153,0.0015755185333337634,0.016322787712058688,21.39153584224225,0.45609818221545817,10.0,10717.0,0.8541409674456114,0.8115294655575682,0.898989898989899,3.0,0.8552596822737336,46146.0,89.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,,,,,0.166510757717493,0.08493251875243413,0.5793078355509621,10.0,881.0,0.9407770766377078,0.9845066211772154,0.898989898989899,0.0,0.9417482600835572,55982.0,89.0
Creditcard Fraud,3,K-Means,Logistic Regression,1000,,,,,0.7243243243243244,0.07636948166076518,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,6.0,0.8416608734132557,56843.0,67.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5877660391389798,0.5945298245341123,0.0016171991018206254,0.0017416658150499532,0.024216287941615525,25.781967582334218,0.484845022174213,25.0,5858.0,0.8174098821467608,0.8969804618117229,0.7448979591836735,2.0,0.8209392104976982,51005.0,73.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,1000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,1000,,,,,0.09807355516637478,0.0791249910006786,0.5421523030757949,14.0,1531.0,0.9132714998932426,0.9730756379367954,0.8571428571428571,0.0,0.9151092475398264,55332.0,84.0
Creditcard Fraud,4,K-Means,Logistic Regression,1000,,,,,0.8829787234042553,0.06139702974953254,0.9413926448012889,15.0,7.0,0.9202361190986993,0.9998768971035648,0.8469387755102041,4.0,0.9234078363068845,56856.0,83.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5891653811728713,0.589108981918714,0.0016366373713706805,0.0017232443000252296,0.39751552795031053,25.93826899571323,0.6979038907357187,34.0,160.0,0.8069842957316976,0.9971862195100505,0.6530612244897959,1.0,0.8251237219999232,56703.0,64.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,1000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,1000,,,,,0.08797653958944282,0.07133450337232228,0.5356486795340757,8.0,1858.0,0.942528339125952,0.9673249740604611,0.9183673469387755,0.0,0.9428461604996183,55005.0,90.0
Creditcard Fraud,5,K-Means,Logistic Regression,1000,,,,,0.8208092485549133,0.09070557813155578,0.9102683593432594,27.0,4.0,0.851139725331302,0.9999296554877513,0.7244897959183674,6.0,0.8622097257030593,56859.0,71.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.591321720072147,0.5805446242583363,0.0016519987233893046,0.0015981622408075204,0.1773049645390071,21.510051972508748,0.5855749061260248,23.0,673.0,0.8696254189278984,0.9881645358141498,0.7653061224489796,2.0,0.8767353291315647,56190.0,75.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,1000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,1000,,,,,0.189520624303233,0.07759397668910539,0.5915442095194554,13.0,714.0,0.925449134689206,0.9874435045636002,0.8673469387755102,0.0,0.9273952216695551,56149.0,85.0
