Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
MNIST Imbalanced 1+7,Autoencoder Clustering,Logistic Regression,0.7782785346034348,0.8313922221557312,0.9850220264317181,1.0,0.992511013215859
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,1.0,1.0,1.0,1.0,1.0
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9495598591549296,0.9530432082755586,1.0,0.8181818181818182,0.9090909090909092
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,1.0,1.0,1.0,1.0,1.0
MNIST Imbalanced 7+8,Autoencoder Clustering,Logistic Regression,0.6567460317460317,0.7670246725164891,0.9610894941634242,1.0,0.9805447470817121
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9495136186770428,0.9495136186770428,0.9990272373540856,0.9,0.9495136186770428
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.9759471671880431,0.9767707926962446,0.9990272373540856,1.0,0.9995136186770428
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9439585357952706,0.948222660345255,1.0,0.8,0.9
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.9540585996282198,0.9569613197901881,0.9980544747081712,1.0,0.9990272373540856
