Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
Ecoli,Autoencoder Clustering,Gradient Boosting,0.32366242742729184,0.36955187418779456,0.0
Ecoli,Autoencoder Clustering,Logistic Regression,0.057239057239057235,0.07588680773412386,0.0
Ecoli,Autoencoder Clustering,Random Forest,0.18249845392702538,0.21599448744175587,0.0
Ecoli,Autoencoder Clustering,Support Vector,0.05610561056105611,0.07497795090353644,0.0
Ecoli,K-Means,Gradient Boosting,0.6444538915194024,0.6715061275658377,0.8234375408314014
Ecoli,K-Means,Logistic Regression,0.5192713038241493,0.5355207761735638,0.0
Ecoli,K-Means,Random Forest,0.6660660555764168,0.6836615588869975,0.8393375241595438
Ecoli,K-Means,Support Vector,0.3735986776426689,0.3832561796872546,0.0
Ecoli,K-Means on Autoencoder Encoding,Gradient Boosting,0.23337868480725626,0.255578731984607,0.0
Ecoli,K-Means on Autoencoder Encoding,Logistic Regression,0.06823979591836733,0.12493790141911212,0.0
Ecoli,K-Means on Autoencoder Encoding,Random Forest,0.22219429563013865,0.23728728945158023,0.5810316245504545
Ecoli,K-Means on Autoencoder Encoding,Support Vector,0.05610561056105611,0.07497795090353644,0.0
Ecoli,No Clustering (=SMOTE),Gradient Boosting,0.4570759451321513,0.4702410615753906,0.0
Ecoli,No Clustering (=SMOTE),Logistic Regression,0.5099560513860717,0.5319546871877889,0.0
Ecoli,No Clustering (=SMOTE),Random Forest,0.7878787878787877,0.808813216839397,0.904928250761584
Ecoli,No Clustering (=SMOTE),Support Vector,0.3739072487420101,0.38475140039557193,0.0
Ecoli,No Oversampling,Gradient Boosting,0.7899163710168198,0.8028221422099335,0.8891893000493306
Ecoli,No Oversampling,Logistic Regression,0.6242183742183742,0.7329254848960043,0.8967249804869383
Ecoli,No Oversampling,Random Forest,0.6817468218874938,0.7021915229091769,0.8564395868015134
Ecoli,No Oversampling,Support Vector,0.39415392150315015,0.39851361058528295,0.0
Ecoli,Random Clustering,Gradient Boosting,0.755387327344731,0.7681888831808888,0.8710758268497112
Ecoli,Random Clustering,Logistic Regression,0.5322066822066821,0.5462510165165329,0.0
Ecoli,Random Clustering,Random Forest,0.7739700930877401,0.7994752417012022,0.8999579772140103
Ecoli,Random Clustering,Support Vector,0.37912506021985726,0.3877375847417928,0.0
MNIST Imbalanced 1+7,Autoencoder Clustering,Gradient Boosting,0.8097411063512758,0.8292954160460055,0.9023983315954119
MNIST Imbalanced 1+7,Autoencoder Clustering,Logistic Regression,0.7508305434996936,0.7956028143787571,0.7282682781660395
MNIST Imbalanced 1+7,Autoencoder Clustering,Random Forest,0.7133920863309353,0.7156880379298507,0.7004308822490641
MNIST Imbalanced 1+7,Autoencoder Clustering,Support Vector,0.8766750152642269,0.8898646808840996,0.8380047884134548
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Gradient Boosting,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,0.9960282397403484,0.9960303712553904,0.9969073289293281
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Random Forest,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Support Vector,0.9906664382388214,0.990720180791395,0.9951161688003793
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Gradient Boosting,0.9879130902081044,0.9880893801723555,0.9960664335664335
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Logistic Regression,0.9960282397403484,0.9960303712553904,0.9969073289293281
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Random Forest,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Support Vector,0.9906664382388214,0.990720180791395,0.9951161688003793
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9865457562825983,0.9867638731460578,0.9956331877729258
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9920140721196131,0.9920483940721441,0.9955629397197604
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 7+8,Autoencoder Clustering,Gradient Boosting,0.6444839173584315,0.7423152607558026,0.9022424848317705
MNIST Imbalanced 7+8,Autoencoder Clustering,Logistic Regression,0.8253464075954047,0.8533388574860041,0.7875667650064595
MNIST Imbalanced 7+8,Autoencoder Clustering,Random Forest,0.6545532874646799,0.6657045088969388,0.6992753110859729
MNIST Imbalanced 7+8,Autoencoder Clustering,Support Vector,0.883866439670687,0.8976550062378088,0.8439597315436241
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9702794168691427,0.9704458048299336,0.9780148168473042
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9807202164089253,0.980848939258457,0.9875933245498463
MNIST Imbalanced 7+8,K-Means,Random Forest,0.9723702041186995,0.9723925681155042,0.969655253283302
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9625518652811005,0.962705408091892,0.9556821320077327
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Gradient Boosting,0.5936058009228742,0.6919127914785052,0.8302913733835326
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.8200540400797258,0.8283255970764356,0.7909481301142895
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Random Forest,0.6571571571571571,0.6608124639405527,0.6456567755086042
