Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
Ecoli,K-Means on Autoencoder Encoding,Gradient Boosting,0.18299951559571198,0.22847875475194507,0.0
Ecoli,K-Means on Autoencoder Encoding,Logistic Regression,0.21368710306374927,0.2580802119548028,0.0
Ecoli,K-Means on Autoencoder Encoding,Random Forest,0.14733044733044734,0.2725210398140265,0.0
Ecoli,K-Means on Autoencoder Encoding,Support Vector,0.08630952380952382,0.16835266839093815,0.0
Ecoli,No Oversampling,Gradient Boosting,0.5564180436798498,0.5785604316425913,0.0
Ecoli,No Oversampling,Logistic Regression,0.4250101294436269,0.45312597549470773,0.0
Ecoli,No Oversampling,Random Forest,0.5851530654268131,0.5983720618575615,0.0
Ecoli,No Oversampling,Support Vector,0.33731601731601735,0.3474951403654481,0.0
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9879130902081044,0.9880893801723555,0.9960664335664335
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.983796066798593,0.9841115331898647,0.994768962510898
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9706311095866919,0.9706412407025524,0.9724927064900282
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9808726117613927,0.9808958429890308,0.983744033957227
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9776647968456582,0.9778785848307807,0.9865610178497628
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.982378665752015,0.9823889673476129,0.9842866708116123
