Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
Ecoli,Autoencoder Clustering,Gradient Boosting,0.263292704469175,0.28232293826564525,0.0
Ecoli,Autoencoder Clustering,Logistic Regression,0.17180687328694919,0.24814008133160775,0.0
Ecoli,Autoencoder Clustering,Random Forest,0.1954236239950526,0.24723471354805712,0.0
Ecoli,Autoencoder Clustering,Support Vector,0.03859649122807018,0.06031223870464549,0.0
Ecoli,K-Means,Gradient Boosting,0.8380235226620769,0.852308446961548,0.9303027404933087
Ecoli,K-Means,Logistic Regression,0.37796973803071365,0.3943555763055888,0.0
Ecoli,K-Means,Random Forest,0.5909985076651744,0.5948332717867927,0.7771956434452498
Ecoli,K-Means,Support Vector,0.40668902165300364,0.4158315749018878,0.0
Ecoli,K-Means on Autoencoder Encoding,Gradient Boosting,0.23838559814169571,0.2588826434027752,0.0
Ecoli,K-Means on Autoencoder Encoding,Logistic Regression,0.040293040293040296,0.061801654059130524,0.0
Ecoli,K-Means on Autoencoder Encoding,Random Forest,0.2453073334596997,0.2739957958530107,0.0
Ecoli,K-Means on Autoencoder Encoding,Support Vector,0.03859649122807018,0.06031223870464549,0.0
Ecoli,No Clustering,Gradient Boosting,0.6218039073587583,0.62427020396658,0.0
Ecoli,No Clustering,Logistic Regression,0.40276422764227643,0.48155460881383044,0.0
Ecoli,No Clustering,Random Forest,0.6967185592185592,0.7027218608018686,0.8219041406690629
Ecoli,No Clustering,Support Vector,0.39927265767059045,0.41155654063085,0.0
Ecoli,No Oversampling,Gradient Boosting,0.8091575091575091,0.8248709591637642,0.9167904701512818
Ecoli,No Oversampling,Logistic Regression,0.7531526444569923,0.784349902005602,0.9263980525275706
Ecoli,No Oversampling,Random Forest,0.7184583052707726,0.7187189003889977,0.8431972329018379
Ecoli,No Oversampling,Support Vector,0.4322447373598268,0.43598003634810617,0.0
Ecoli,Random Clustering,Gradient Boosting,0.837586115527292,0.8534095543449914,0.9308011723003743
Ecoli,Random Clustering,Logistic Regression,0.3912058650620742,0.4046977741697742,0.0
Ecoli,Random Clustering,Random Forest,0.7184583052707726,0.7187189003889977,0.8431972329018379
Ecoli,Random Clustering,Support Vector,0.4139548191272329,0.4205327381627179,0.0
MNIST Imbalanced 1+7,Autoencoder Clustering,Gradient Boosting,0.6234324630897459,0.7359594379662358,0.9087319941852782
MNIST Imbalanced 1+7,Autoencoder Clustering,Logistic Regression,0.9349466645438624,0.9353495880100324,0.9466039054168351
MNIST Imbalanced 1+7,Autoencoder Clustering,Random Forest,0.5777529761904763,0.5787665068631497,0.5840118430792005
MNIST Imbalanced 1+7,Autoencoder Clustering,Support Vector,0.9702794731404272,0.9706089143750246,0.9602718360071301
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9906996526270506,0.9907188470046451,0.993338877730354
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9933568947336076,0.9933761598119653,0.996010387898569
