Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
Ecoli,K-Means,Gradient Boosting,0.5560865060865061,0.5640739468158621,0.0
Ecoli,K-Means,Logistic Regression,0.3179138321995465,0.3342101802723298,0.0
Ecoli,K-Means,Random Forest,0.5230653214062826,0.5439868184495608,0.0
Ecoli,K-Means,Support Vector,0.2751174812030075,0.2859159159528555,0.0
Ecoli,K-Means on Autoencoder Encoding,Gradient Boosting,0.12446360153256705,0.1927909321795686,0.0
Ecoli,K-Means on Autoencoder Encoding,Logistic Regression,0.12970521541950114,0.17108038321930943,0.0
Ecoli,K-Means on Autoencoder Encoding,Random Forest,0.298526683400633,0.33818793959788557,0.0
Ecoli,K-Means on Autoencoder Encoding,Support Vector,0.0330827067669173,0.051696204603981846,0.0
Ecoli,No Clustering (=SMOTE),Gradient Boosting,0.5496988476639639,0.5565580289529182,0.0
Ecoli,No Clustering (=SMOTE),Logistic Regression,0.3182100508187465,0.3351165486410054,0.0
Ecoli,No Clustering (=SMOTE),Random Forest,0.48020050125313285,0.5315210405045365,0.0
Ecoli,No Clustering (=SMOTE),Support Vector,0.2751174812030075,0.2859159159528555,0.0
Ecoli,No Oversampling,Gradient Boosting,0.5472983136026615,0.5560805906739529,0.0
Ecoli,No Oversampling,Logistic Regression,0.27053285256410253,0.2760671025540107,0.0
Ecoli,No Oversampling,Random Forest,0.4828768349445041,0.5068266114248329,0.0
Ecoli,No Oversampling,Support Vector,0.2685175794455713,0.2749115085587725,0.0
Ecoli,Random Clustering,Gradient Boosting,0.5472983136026615,0.5560805906739529,0.0
Ecoli,Random Clustering,Logistic Regression,0.31927437641723355,0.3380490871780961,0.0
Ecoli,Random Clustering,Random Forest,0.4946162101624772,0.5161948520412,0.0
Ecoli,Random Clustering,Support Vector,0.2751174812030075,0.2859159159528555,0.0
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9960141368401645,0.9960334725680831,0.9986818980667838
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9973474697743987,0.9973560450826207,0.9991204925241864
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9960282397403484,0.9960303712553904,0.9969073289293281
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Gradient Boosting,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Logistic Regression,0.9933568947336076,0.9933761598119653,0.996010387898569
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Random Forest,0.9960141368401645,0.9960334725680831,0.9986818980667838
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Support Vector,0.9960282397403484,0.9960303712553904,0.9969073289293281
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9920140721196131,0.9920483940721441,0.9955629397197604
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9960141368401645,0.9960334725680831,0.9986818980667838
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9865457562825983,0.9867638731460578,0.9956331877729258
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9920140721196131,0.9920483940721441,0.9955629397197604
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9798356197667464,0.9799929924264087,0.9727078155205744
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9927007299270073,0.9927033087546421,0.9917447367674725
MNIST Imbalanced 7+8,K-Means,Random Forest,0.9824475657207934,0.9824475657207934,0.9824475657207934
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9799876647406349,0.9803360357779826,0.9695539569650569
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Gradient Boosting,0.9854860581405205,0.985526386619495,0.9817887447667464
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Logistic Regression,0.9912916348843122,0.9913322895811234,0.9875499962619617
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Random Forest,0.9796017243172215,0.979611809356843,0.9777523518942284
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Support Vector,0.9827817343946377,0.9830266076806395,0.9739274455156028
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9825157637004756,0.9825258901561204,0.9806551402661241
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9941491885735978,0.9941491885735978,0.9941491885735978
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9795221600075923,0.9795221600075923,0.9795221600075923
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9882983771471956,0.9882983771471956,0.9882983771471956
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9810954028180576,0.9811180448259489,0.9783302063789869
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.9927007299270073,0.9927033087546421,0.9917447367674725
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.982378665752015,0.9823889673476129,0.9842866708116123
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9827162455143541,0.9828742546639618,0.9755454294393814
