Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Minority Accuracy,ROC AUC Score
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9852802905035178,0.9853856827424837,1.0,0.979295154185022
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9865943298542896,0.9867327988179867,1.0,0.9797356828193833
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9852271102543497,0.985402738365213,1.0,0.9775330396475772
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9852271102543497,0.985402738365213,1.0,0.9775330396475772
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Gradient Boosting,0.835237103727382,0.8369233062923046,1.0,0.8555066079295155
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,0.9229687802986232,0.9239788742708888,1.0,0.9066079295154186
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Random Forest,0.7827751196172249,0.8275027520854431,1.0,0.7242290748898679
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Support Vector,0.9694417157745948,0.969460342652267,1.0,0.9669603524229076
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9825411303005951,0.9827160960583221,1.0,0.9748898678414097
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9852271102543497,0.985402738365213,1.0,0.9775330396475772
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9783947557314572,0.9787078194048725,1.0,0.9682819383259912
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9782355972626711,0.9788014007789421,1.0,0.9647577092511013
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9892754638834317,0.9894144522753814,1.0,0.9823788546255506
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9865943298542896,0.9867327988179867,1.0,0.9797356828193833
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9865457562825983,0.9867638731460578,1.0,0.9779735682819384
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9797819458615336,0.9800444396172051,1.0,0.9704845814977974
MNIST Imbalanced 1+7,SMOTE,Gradient Boosting,0.9852271102543497,0.985402738365213,1.0,0.9775330396475772
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,0.9865943298542896,0.9867327988179867,1.0,0.9797356828193833
MNIST Imbalanced 1+7,SMOTE,Random Forest,0.9825411303005951,0.9827160960583221,1.0,0.9748898678414097
MNIST Imbalanced 1+7,SMOTE,Support Vector,0.9852271102543497,0.985402738365213,1.0,0.9775330396475772
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9653001876172609,0.9653876253052457,1.0,0.9707530606434469
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9767776930248326,0.9768175311921169,1.0,0.9805020404289646
MNIST Imbalanced 7+8,K-Means,Random Forest,0.9736713485811901,0.9736713485811901,1.0,0.9736713485811901
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9701495806553879,0.9706799208369222,1.0,0.9839280630160387
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Gradient Boosting,0.45272969374167776,0.45447037055917244,1.0,0.4961089494163424
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.8306944811196197,0.8534389214203891,1.0,0.9187316124134004
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Random Forest,0.479483282674772,0.6859193986661936,1.0,0.5121951219512195
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Support Vector,0.8556105212711413,0.8740497369905452,1.0,0.9362626933662332
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.970745942867989,0.970745942867989,1.0,0.970745942867989
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9795221600075923,0.9795221600075923,1.0,0.9795221600075923
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9658896136465601,0.9660156309797111,1.0,0.9595235835626839
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9765048876693534,0.9765151040966249,1.0,0.9746441112271045
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9752786036851522,0.9753010604288518,1.0,0.9780630160387207
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.9796017243172215,0.979611809356843,1.0,0.981474803074879
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.967307358556057,0.9674730338317709,1.0,0.9600099648856412
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9797584427767354,0.9798476990630582,1.0,0.9853800892094524
MNIST Imbalanced 7+8,SMOTE,Gradient Boosting,0.9695793412558082,0.9696406937577364,1.0,0.9741648476796052
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.975373752445178,0.9754356135109639,1.0,0.9800156591060074
MNIST Imbalanced 7+8,SMOTE,Random Forest,0.9647573315040302,0.964767377162782,1.0,0.9629424883743001
MNIST Imbalanced 7+8,SMOTE,Support Vector,0.9743661412229965,0.9748327718018935,1.0,0.987339850052197
