Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9824136400070322,0.9827846896510589,1.0,1.0,0.9713656387665198
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9933568947336076,0.9933761598119653,1.0,1.0,0.9907488986784141
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9824136400070322,0.9827846896510589,1.0,1.0,0.9713656387665198
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9853329743752907,0.9853863187538263,1.0,1.0,0.981057268722467
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Gradient Boosting,0.5936409725700886,0.5981819230770931,1.0,1.0,0.5845814977973569
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,0.9460994441221638,0.9461170289919183,1.0,1.0,0.9484581497797357
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Random Forest,0.7358567653249621,0.7841249330351882,1.0,1.0,0.6854625550660793
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Support Vector,0.9787041923189681,0.9787378807092423,1.0,1.0,0.9753303964757709
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9769179007391975,0.9774121721224931,1.0,1.0,0.9643171806167401
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9879130902081044,0.9880893801723555,1.0,1.0,0.9801762114537445
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9755150469205047,0.9760786557254645,1.0,1.0,0.962114537444934
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9754242317315711,0.976143522624433,1.0,1.0,0.960352422907489
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.983796066798593,0.9841115331898647,1.0,1.0,0.973568281938326
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9906664382388214,0.990720180791395,1.0,1.0,0.9863436123348017
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9742023596496912,0.9746947139352367,1.0,1.0,0.9616740088105729
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9852802905035178,0.9853856827424837,1.0,1.0,0.979295154185022
MNIST Imbalanced 1+7,SMOTE,Gradient Boosting,0.983796066798593,0.9841115331898647,1.0,1.0,0.973568281938326
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,0.9893139593271404,0.9893915142933183,1.0,1.0,0.9841409691629956
MNIST Imbalanced 1+7,SMOTE,Random Forest,0.9825411303005951,0.9827160960583221,1.0,1.0,0.9748898678414097
MNIST Imbalanced 1+7,SMOTE,Support Vector,0.9852802905035178,0.9853856827424837,1.0,1.0,0.979295154185022
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9696956929332082,0.9698149586443439,1.0,1.0,0.9761174907468919
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9698108763858397,0.9700064303990679,1.0,1.0,0.9780701338141786
MNIST Imbalanced 7+8,K-Means,Random Forest,0.967566598115644,0.9676073000933886,1.0,1.0,0.9639152510202145
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9659486329743165,0.9665460384645717,1.0,1.0,0.9805162759798804
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Gradient Boosting,0.4546660769570986,0.4565465059381652,1.0,1.0,0.5
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.8683676737482652,0.8796231444563056,1.0,1.0,0.9298899117395842
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Random Forest,0.5595336861400073,0.708671821385104,1.0,1.0,0.5556111796526526
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Support Vector,0.8897170626993829,0.9011223732615016,1.0,1.0,0.9537795387681502
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9647573315040302,0.964767377162782,1.0,1.0,0.9629424883743001
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9739751407129456,0.9740636704598571,1.0,1.0,0.9795292777830502
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9691019113068652,0.9691247561271723,1.0,1.0,0.9663542754104584
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9808726117613927,0.9808958429890308,1.0,1.0,0.9780558982632628
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9695793412558082,0.9696406937577364,1.0,1.0,0.9741648476796052
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.9670606136280483,0.9673492063587622,1.0,1.0,0.9770973711682642
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.9708596061674593,0.9708695667537264,1.0,1.0,0.9726985859352757
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9752786036851522,0.9753010604288518,1.0,1.0,0.9780630160387207
MNIST Imbalanced 7+8,SMOTE,Gradient Boosting,0.9709721162810407,0.9710116269034997,1.0,1.0,0.9746512290025624
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.9711937425239234,0.9713492026245721,1.0,1.0,0.9785565151371358
MNIST Imbalanced 7+8,SMOTE,Random Forest,0.973463580276436,0.9735046285658984,1.0,1.0,0.9697660624466167
MNIST Imbalanced 7+8,SMOTE,Support Vector,0.9700378042303246,0.9704393131894945,1.0,1.0,0.981975419948752
